id,title,name_parts,var_entries,langs,nisba,alternative-name,patronymic,surname,middle-name,matronymic,honorific,salutation,primary-name,appellation,professional-name,teknonym,acronym,given-name,qualifier
682,klaaraa (pryymaan) haab`rmaan,"{""primary-name"": ""haab`rmaan"", ""given-name"": ""klaaraa"", ""alternative-name"": ""pryymaan"", ""surname"": ""haab`rmaan""}","[{'var': 'klaaraa (pryymaan) haab`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,פריימאַן,,האַבּערמאַן,,,,,האַבּערמאַן,,,,,קלאַראַ,
683,havr,"{""primary-name"": ""havr""}","[{'var': 'havr', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,האור,,,,,,
684,abrhm haakhbaan,"{""given-name"": ""abrhm"", ""surname"": ""haakhbaan""}","[{'var': 'abrhm haakhbaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האָכבּאַן,,,,,,,,,,אברהם,
685,y`taa haakhb`rg,"{""primary-name"": ""y`taa haakhb`rg"", ""given-name"": ""y`taa"", ""surname"": ""haakhb`rg""}","[{'var': 'y`taa haakhb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האָכבּערג,,,,,יעטאַ האָכבּערג,,,,,יעטאַ,
686,mrdkhy haakhb`rg,"{""primary-name"": ""haakhb`rg"", ""given-name"": ""mrdkhy""}","[{'var': 'mrdkhy haakhb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,האָכבּערג,,,,,מרדכי,
687,rhl (aary`l) haakhb`rg,"{""primary-name"": ""haakhb`rg"", ""given-name"": ""rhl"", ""alternative-name"": ""aary`l""}","[{'var': 'rhl (aary`l) haakhb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,אַריעל,,,,,,,האָכבּערג,,,,,רחל,
688,shavl haakhb`rg,"{""primary-name"": ""hakhbrg"", ""given-name"": ""shavl"", ""surname"": ""hakhbrg""}","[{'var': 'shavl haakhb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האכברג,,,,,האכברג,,,,,שאול,
689,h`ry (khazyn) haakhshtyyn,"{""given-name"": ""h`ry"", ""alternative-name"": ""khazyn"", ""surname"": ""haakhshtyyn""}","[{'var': 'h`ry (khazyn) haakhshtyyn', 'src': 'ds', 'lang': 'en'}]",['en'],,כאזין,,האָכשטיין,,,,,,,,,,הערי,
690,y`kb haakhshtyyn,"{""given-name"": ""y`kb"", ""surname"": ""haakhshtyyn""}","[{'var': 'y`kb haakhshtyyn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האָכשטיין,,,,,,,,,,יעקב,
691,yvsp haald`r,"{""given-name"": ""yvsp"", ""surname"": ""haald`r""}","[{'var': 'yvsp haald`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האַלדער,,,,,,,,,,יוסף,
692,ayzydaar haal`nd`r,"{""primary-name"": ""ayzydaar haal`nd`r"", ""given-name"": ""ayzydaar"", ""surname"": ""haal`nd`r""}","[{'var': 'ayzydaar haal`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האָלענדער,,,,,איזידאָר האָלענדער,,,,,איזידאָר,
693,hnh (pynk`ntal) haal`nd`r,"{""given-name"": ""hnh"", ""alternative-name"": ""pynk`ntal"", ""surname"": ""haal`nd`r""}","[{'var': 'hnh (pynk`ntal) haal`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,פינקענטאל,,האָלענדער,,,,,,,,,,חנה,
694,lyyb haal`nd`r,"{""primary-name"": ""lyyb haal`nd`r"", ""given-name"": ""lyyb"", ""surname"": ""haal`nd`r""}","[{'var': 'lyyb haal`nd`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האָלענדער,,,,,לייב האָלענדער,,,,,לייב,
695,abrhm haalp`rn,"{""primary-name"": ""abrhm haalp`rn"", ""given-name"": ""abrhm"", ""surname"": ""haalp`rn""}","[{'var': 'abrhm haalp`rn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האַלפּערן,,,,,אברהם האַלפּערן,,,,,אברהם,
696,baarys haalp`rn,"{""primary-name"": ""baarys haalp`rn"", ""given-name"": ""baarys"", ""surname"": ""haalp`rn""}","[{'var': 'baarys haalp`rn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האַלפּערן,,,,,באָריס האַלפּערן,,,,,באָריס,
697,dynh haalp`rn,"{""given-name"": ""dynh"", ""surname"": ""haalp`rn""}","[{'var': 'dynh haalp`rn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האַלפּערן,,,,,,,,,,דינה,
698,yhvntn haalp`rn,"{""primary-name"": ""yhvntn haalp`rn"", ""given-name"": ""yhvntn"", ""surname"": ""haalp`rn""}","[{'var': 'yhvntn haalp`rn', 'src': 'ds', 'lang': 'en'}]",['en'],,,,האַלפּערן,,,,,יהונתן האַלפּערן,,,,,יהונתן,
